risk_id,description,category,probability,impact,severity,owner,workstream,mitigation,status,raised_date,review_date
RISK-001,"Legacy CaseTrack 7 licences expire on 31 January 2027 with no extension option, creating a hard deadline for decommissioning",Commercial,Low,High,Medium,David Renshaw,Programme,Contract review completed; vendor approached about a three-month bridging extension as contingency,Open,2026-04-14,2026-10-02
RISK-002,"Legacy case data quality is worse than assessed, causing reconciliation failures during migration and incomplete customer histories at go-live",Technical,High,High,High,Priya Nair,Data,Three migration dry runs scheduled; reconciliation tooling built; data cleansing contractor engaged for eight weeks,Open,2026-05-02,2026-09-18
RISK-003,Contact centre agents reject the new interface due to increased handling time during the first weeks after go-live,Business Change,Medium,High,High,Rachel Adeyemi,Business Change,Early access programme for 20 agents; floorwalker support planned for first three weeks; handling time monitored daily post go-live,Open,2026-05-02,2026-09-25
RISK-004,"UAT environment may not be ready by 12 October, compressing the user acceptance testing window and delaying go-live readiness sign-off",Technical,High,High,High,Sarah Whitfield,Technology,Escalated to Infrastructure leadership; revised provisioning plan requested; parallel preparation of test data and scripts continues,Open,2026-08-21,2026-09-19
RISK-005,"Integration with the billing platform fails under production transaction volumes, causing case creation delays",Technical,Medium,High,High,Elena Vasquez,Technology,Performance testing scheduled for w/c 26 October against production-equivalent volumes,Open,2026-06-11,2026-10-09
RISK-006,Northwind Technologies cannot sustain agreed resource levels through October and November due to competing client commitments,Supplier,Medium,Medium,Medium,James Fitzgerald,Programme,Resource commitments written into the statement of work; weekly supplier resource call established,Open,2026-06-25,2026-09-26
RISK-007,"Knowledge articles migrated from the legacy system are out of date, reducing the accuracy of the Aurora knowledge assistant",Business Change,High,Medium,Medium,Nadia Hassan,Business Change,"Content audit underway; 340 of 1,120 articles reviewed to date; articles not reviewed by 16 October will be excluded from launch",Open,2026-07-09,2026-09-25
RISK-008,Insufficient agent training completion before go-live leaves the contact centre underprepared,Business Change,Medium,High,High,Rachel Adeyemi,Business Change,Training schedule published; completion tracked weekly; minimum 90 per cent completion set as a go-live gate,Open,2026-07-16,2026-10-02
RISK-009,"Security assurance and penetration testing are not complete before the go-live decision point, blocking approval to launch",Security,Medium,High,High,Marcus Chen,Security,Penetration test booked for w/c 19 October; remediation window held in the plan through to 2 November,Open,2026-07-23,2026-09-18
RISK-010,Programme exceeds the approved budget of 2.4m due to extended contractor engagement and additional environment costs,Financial,Medium,Medium,Medium,Ingrid Larsen,Programme,Monthly forecast review with Finance; change control required for any commitment above 25k,Open,2026-08-06,2026-09-30
RISK-011,"Cutover weekend overruns the agreed 48-hour window, extending the period during which the contact centre operates on manual workarounds",Technical,Medium,High,High,Callum Roberts,Service,Cutover rehearsal scheduled for w/c 26 October; rollback plan to be approved at the October steering committee,Open,2026-08-13,2026-10-16
RISK-012,"Data residency requirements are not met by the selected cloud region, creating a regulatory compliance exposure",Security,Low,High,Medium,Marcus Chen,Security,Closed following architecture decision ADR-003 to deploy in the UK South region; confirmed with Legal on 21 August,Closed,2026-05-20,2026-08-21
